City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,48.99,96,100,3.0,NZ,1601788520
Kapaa,22.08,-159.32,82.4,78,40,11.41,US,1601788712
Puerto Ayora,-0.74,-90.35,64.0,91,11,1.99,EC,1601788712
Okhotsk,59.38,143.3,50.72,60,28,4.25,RU,1601788712
Rørvik,64.86,11.24,55.0,71,16,30.91,NO,1601788713
Qaanaaq,77.48,-69.36,18.57,91,97,1.63,GL,1601788713
Thompson,55.74,-97.86,39.2,80,75,6.93,CA,1601788713
San Ramon,37.78,-121.98,73.99,35,1,3.83,US,1601788713
Thunder Bay,48.4,-89.32,35.01,100,90,2.24,CA,1601788495
Punta Arenas,-53.15,-70.92,44.6,65,75,13.87,CL,1601788714
Busselton,-33.65,115.33,66.99,38,7,12.59,AU,1601788714
Lebu,-37.62,-73.65,43.27,85,0,3.49,CL,1601788715
Mataura,-46.19,168.86,48.99,96,100,3.0,NZ,1601788632
Cape Town,-33.93,18.42,57.0,93,0,2.24,ZA,1601788715
Fort Myers Beach,26.45,-81.95,75.0,100,90,10.29,US,1601788715
Bethel,41.37,-73.41,46.0,93,1,3.42,US,1601788715
Bredasdorp,-34.53,20.04,57.2,87,51,3.36,ZA,1601788716
Klaksvík,62.23,-6.59,51.8,100,100,6.93,FO,1601788716
Hermanus,-34.42,19.23,60.01,83,21,4.0,ZA,1601788716
Dakar,14.69,-17.44,73.4,88,20,10.29,SN,1601788716
Albany,42.6,-73.97,42.01,100,1,2.91,US,1601788717
Makakilo City,21.35,-158.09,84.2,54,75,6.93,US,1601788448
Namatanai,-3.67,152.43,82.76,78,74,11.41,PG,1601788717
Wangaratta,-36.37,146.33,82.4,39,40,19.46,AU,1601788717
Níjar,36.97,-2.21,53.6,54,0,2.24,ES,1601788717
Ucluelet,48.93,-125.55,59.0,91,48,3.56,CA,1601788508
Bengkulu,-3.8,102.27,86.5,65,100,11.65,ID,1601788718
Morón,-34.65,-58.62,51.01,82,85,4.0,AR,1601788719
Vila Velha,-20.33,-40.29,75.2,88,75,14.03,BR,1601788719
Faanui,-16.48,-151.75,78.06,76,48,17.58,PF,1601788719
Atuona,-9.8,-139.03,78.48,75,0,22.26,PF,1601788720
Carnarvon,-24.87,113.63,71.6,30,0,21.92,AU,1601788720
Itea,38.43,22.42,69.01,69,66,0.74,GR,1601788720
Simpang Empat,4.95,100.63,86.0,79,20,2.24,MY,1601788720
Castro,-24.79,-50.01,59.49,83,84,13.85,BR,1601788720
Port Elizabeth,-33.92,25.57,60.8,100,75,8.05,ZA,1601788721
Labuhan,-6.88,112.21,90.0,49,100,5.82,ID,1601788721
Tabas,33.6,56.92,73.4,17,0,2.57,IR,1601788721
Hithadhoo,-0.6,73.08,83.68,72,86,6.85,MV,1601788721
Barrow,71.29,-156.79,33.8,86,90,13.87,US,1601788721
Airai,-8.93,125.41,77.34,50,85,4.63,TL,1601788722
